cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
100000,01,047,01047,9565,0,010479565000,01047956500
100000,01,047,01047,9564,0,010479564000,01047956400
100000,01,105,01105,6871,0,011056871000,01105687100
100000,01,121,01121,106,0,011210106000,01121010600
100000,01,131,01131,347,0,011310347000,01131034700
100000,01,121,01121,118,0,011210118000,01121011800
100000,01,053,01053,9706,0,010539706000,01053970600
100000,01,099,01099,756,0,010990756000,01099075600
100000,01,109,01109,1891.01,0,011091891010,01109189101
100000,01,119,01119,113.01,0,011190113010,01119011301
100000,01,087,01087,2316.02,0,010872316020,01087231602
100000,01,005,01005,9509,0,010059509000,01005950900
100000,01,053,01053,9702,0,010539702000,01053970200
100000,01,031,01031,113,0,010310113000,01031011300
100000,01,109,01109,1891.02,0,011091891020,01109189102
100000,01,047,01047,9569,0,010479569000,01047956900
100000,01,105,01105,6870.01,0,011056870010,01105687001
100000,01,109,01109,1889,0,011091889000,01109188900
100000,01,045,01045,207,0,010450207000,01045020700
100000,01,119,01119,114,0,011190114000,01119011400
100000,01,011,01011,9521,0,010119521000,01011952100
100000,01,119,01119,113.02,0,011190113020,01119011302
100000,01,091,01091,9731,0,010919731000,01091973100
100000,01,091,01091,9729.02,0,010919729020,01091972902
100000,01,123,01123,9621,0,011239621000,01123962100
100000,01,039,01039,9627,0,010399627000,01039962700
100000,01,119,01119,115,0,011190115000,01119011500
100000,01,105,01105,6870.02,0,011056870020,01105687002
100000,01,099,01099,757,0,010990757000,01099075700
100000,01,047,01047,9563,0,010479563000,01047956300
100000,01,005,01005,9506,0,010059506000,01005950600
100000,01,123,01123,9626,0,011239626000,01123962600
100000,01,027,01027,9590,0,010279590000,01027959000
100000,01,011,01011,9522.02,0,010119522020,01011952202
100000,01,049,01049,9613,0,010499613000,01049961300
100000,01,013,01013,9531,0,010139531000,01013953100
100000,01,011,01011,9522.01,0,010119522010,01011952201
100000,01,025,01025,9577,0,010259577000,01025957700
100000,01,005,01005,9507,0,010059507000,01005950700
100000,01,119,01119,116,0,011190116000,01119011600
100000,01,091,01091,9729.01,0,010919729010,01091972901
100000,01,005,01005,9503,0,010059503000,01005950300
100000,01,039,01039,9626,0,010399626000,01039962600
100000,01,005,01005,9504,0,010059504000,01005950400
100000,01,025,01025,9580.03,0,010259580030,01025958003
100000,01,047,01047,9568,0,010479568000,01047956800
100000,01,131,01131,352,0,011310352000,01131035200
100000,01,023,01023,9570,0,010239570000,01023957000
100000,01,053,01053,9703,0,010539703000,01053970300
100000,01,095,01095,308.03,0,010950308030,01095030803
100000,01,095,01095,308.04,0,010950308040,01095030804
100000,01,099,01099,760,0,010990760000,01099076000
100000,01,029,01029,9596,0,010299596000,01029959600
100000,01,005,01005,9502,0,010059502000,01005950200
100000,01,121,01121,105,0,011210105000,01121010500
100000,01,049,01049,9608,0,010499608000,01049960800
100000,01,075,01075,300,0,010750300000,01075030000
100000,01,059,01059,9734,0,010599734000,01059973400
100000,01,057,01057,203,0,010570203000,01057020300
100000,01,087,01087,2323,0,010872323000,01087232300
100000,01,047,01047,9566,0,010479566000,01047956600
100000,01,131,01131,348.01,0,011310348010,01131034801
100000,01,095,01095,301.01,0,010950301010,01095030101
100000,01,071,01071,9502,0,010719502000,01071950200
100000,01,095,01095,301.02,0,010950301020,01095030102
100000,01,099,01099,761.02,0,010990761020,01099076102
100000,01,087,01087,2319,0,010872319000,01087231900
100000,01,045,01045,205,0,010450205000,01045020500
100000,01,131,01131,348.02,0,011310348020,01131034802
100000,01,095,01095,311,0,010950311000,01095031100
100000,01,121,01121,116,0,011210116000,01121011600
100000,01,091,01091,9732,0,010919732000,01091973200
100000,01,127,01127,210,0,011270210000,01127021000
100000,01,023,01023,9567,0,010239567000,01023956700
100000,01,039,01039,9621,0,010399621000,01039962100
100000,01,071,01071,9508,0,010719508000,01071950800
100000,01,121,01121,110,0,011210110000,01121011000
100000,01,005,01005,9508,0,010059508000,01005950800
100000,01,025,01025,9578,0,010259578000,01025957800
100000,01,121,01121,113.01,0,011210113010,01121011301
100000,01,049,01049,9603.01,0,010499603010,01049960301
100000,01,087,01087,2318,0,010872318000,01087231800
100000,01,127,01127,215,0,011270215000,01127021500
100000,01,087,01087,2322,0,010872322000,01087232200
100000,01,121,01121,113.02,0,011210113020,01121011302
100000,01,105,01105,6868,0,011056868000,01105686800
10180,48,441,48441,119,0,484410119000,48441011900
10180,48,441,48441,102,0,484410102000,48441010200
10180,48,441,48441,108,0,484410108000,48441010800
10180,48,441,48441,104,0,484410104000,48441010400
10180,48,441,48441,105,0,484410105000,48441010500
10180,48,441,48441,110,0,484410110000,48441011000
10180,48,441,48441,124,0,484410124000,48441012400
10380,72,131,72131,92,0,721310092000,72131009200
10380,72,141,72141,9574,0,721419574000,72141957400
10380,72,005,72005,4006,0,720054006000,72005400600
10380,72,081,72081,9584,0,720819584000,72081958400
10380,72,005,72005,4008,0,720054008000,72005400800
10380,72,005,72005,4009,0,720054009000,72005400900
10380,72,005,72005,4015,0,720054015000,72005401500
10380,72,141,72141,9575,0,721419575000,72141957500
10380,72,005,72005,4013.01,0,720054013010,72005401301
10380,72,071,72071,4107.04,0,720714107040,72071410704
10380,72,099,72099,4203.03,0,720994203030,72099420303
10380,72,081,72081,9583,0,720819583000,72081958300
10380,72,131,72131,9593,0,721319593000,72131959300
10380,72,071,72071,4107.01,0,720714107010,72071410701
10380,72,099,72099,4205,0,720994205000,72099420500
10380,72,099,72099,4201,0,720994201000,72099420100
10380,72,071,72071,4107.03,0,720714107030,72071410703
10380,72,099,72099,4203.04,0,720994203040,72099420304
10380,72,003,72003,4303,0,720034303000,72003430300
10380,72,131,72131,9589,0,721319589000,72131958900
10380,72,011,72011,8104,0,720118104000,72011810400
10420,39,133,39133,6015.02,0,391336015020,39133601502
10420,39,153,39153,5019,0,391535019000,39153501900
10420,39,153,39153,5083.01,0,391535083010,39153508301
10420,39,153,39153,5089,0,391535089000,39153508900
10420,39,153,39153,5053,0,391535053000,39153505300
10420,39,133,39133,6015.03,0,391336015030,39133601503
10420,39,153,39153,5068,0,391535068000,39153506800
10420,39,153,39153,5038,0,391535038000,39153503800
10420,39,153,39153,5090,0,391535090000,39153509000
10420,39,153,39153,5052,0,391535052000,39153505200
10420,39,153,39153,5066,0,391535066000,39153506600
10420,39,153,39153,5042,0,391535042000,39153504200
10420,39,153,39153,5044,0,391535044000,39153504400
10420,39,153,39153,5065,0,391535065000,39153506500
10420,39,153,39153,5031,0,391535031000,39153503100
10420,39,153,39153,5067,0,391535067000,39153506700
10420,39,153,39153,5103.01,0,391535103010,39153510301
10420,39,153,39153,5011,0,391535011000,39153501100
10420,39,153,39153,5086,0,391535086000,39153508600
10420,39,153,39153,5088,0,391535088000,39153508800
10420,39,153,39153,5041,0,391535041000,39153504100
10420,39,153,39153,5034,0,391535034000,39153503400
10420,39,153,39153,5046,0,391535046000,39153504600
10420,39,153,39153,5032,0,391535032000,39153503200
10420,39,153,39153,5023,0,391535023000,39153502300
10420,39,133,39133,6012,0,391336012000,39133601200
10420,39,153,39153,5075.02,0,391535075020,39153507502
10420,39,153,39153,5083.99,0,391535083990,39153508399
10420,39,153,39153,5017,0,391535017000,39153501700
10420,39,153,39153,5056,0,391535056000,39153505600
10420,39,153,39153,5018,0,391535018000,39153501800
10420,39,153,39153,5025,0,391535025000,39153502500
10420,39,133,39133,6015.01,0,391336015010,39133601501
10420,39,153,39153,5074,0,391535074000,39153507400
10420,39,153,39153,5045,0,391535045000,39153504500
10420,39,153,39153,5021.02,0,391535021020,39153502102
10420,39,153,39153,5035,0,391535035000,39153503500
10420,39,153,39153,5033,0,391535033000,39153503300
10420,39,153,39153,5022,0,391535022000,39153502200
10420,39,153,39153,5021.01,0,391535021010,39153502101
10420,39,153,39153,5026,0,391535026000,39153502600
10420,39,153,39153,5075.01,0,391535075010,39153507501
10420,39,153,39153,5058,0,391535058000,39153505800
10420,39,153,39153,5055,0,391535055000,39153505500
10420,39,153,39153,5064,0,391535064000,39153506400
10500,13,095,13095,8,0,130950008000,13095000800
10500,13,095,13095,2,0,130950002000,13095000200
10500,13,095,13095,15,0,130950015000,13095001500
10500,13,095,13095,114,0,130950114000,13095011400
10500,13,095,13095,106.01,0,130950106010,13095010601
10500,13,095,13095,103.02,0,130950103020,13095010302
10500,13,095,13095,107.02,0,130950107020,13095010702
10500,13,095,13095,107.01,0,130950107010,13095010701
10500,13,095,13095,14.03,0,130950014030,13095001403
10500,13,273,13273,1203,0,132731203000,13273120300
10500,13,095,13095,1.01,0,130950001010,13095000101
10500,13,095,13095,10,0,130950010000,13095001000
10580,36,093,36093,210.02,0,360930210020,36093021002
10580,36,001,36001,25,0,360010025000,36001002500
10580,36,001,36001,8,0,360010008000,36001000800
10580,36,093,36093,210.01,0,360930210010,36093021001
10580,36,083,36083,404,0,360830404000,36083040400
10580,36,001,36001,11,0,360010011000,36001001100
10580,36,001,36001,2.02,0,360010002020,36001000202
10580,36,001,36001,2.01,0,360010002010,36001000201
10580,36,093,36093,215,0,360930215000,36093021500
10580,36,001,36001,5.01,0,360010005010,36001000501
10580,36,083,36083,406,0,360830406000,36083040600
10580,36,093,36093,203,0,360930203000,36093020300
10580,36,001,36001,15,0,360010015000,36001001500
10580,36,001,36001,132,0,360010132000,36001013200
10580,36,001,36001,7,0,360010007000,36001000700
10580,36,083,36083,407.01,0,360830407010,36083040701
10580,36,001,36001,1,0,360010001000,36001000100
10580,36,083,36083,407.02,0,360830407020,36083040702
10580,36,083,36083,515,0,360830515000,36083051500
10580,36,001,36001,23,0,360010023000,36001002300
10580,36,083,36083,401,0,360830401000,36083040100
10580,36,001,36001,128,0,360010128000,36001012800
10580,36,001,36001,6,0,360010006000,36001000600
10580,36,083,36083,405,0,360830405000,36083040500
10580,36,093,36093,214,0,360930214000,36093021400
10580,36,093,36093,209,0,360930209000,36093020900
10580,36,001,36001,3.01,0,360010003010,36001000301
10580,36,093,36093,217,0,360930217000,36093021700
10580,36,093,36093,208,0,360930208000,36093020800
10580,36,083,36083,411.02,0,360830411020,36083041102
10580,36,001,36001,3.02,0,360010003020,36001000302
10580,36,001,36001,26,0,360010026000,36001002600
10580,36,083,36083,402,0,360830402000,36083040200
10580,36,093,36093,207,0,360930207000,36093020700
10580,36,083,36083,409,0,360830409000,36083040900
10580,36,001,36001,20,0,360010020000,36001002000
10580,36,001,36001,16,0,360010016000,36001001600
10580,36,083,36083,403,0,360830403000,36083040300
10580,36,001,36001,22,0,360010022000,36001002200
10580,36,091,36091,623,0,360910623000,36091062300
10580,36,091,36091,622,0,360910622000,36091062200
10580,36,093,36093,202,0,360930202000,36093020200
10580,36,093,36093,323,0,360930323000,36093032300
10740,35,043,35043,9409,0,350439409000,35043940900
10740,35,001,35001,9.08,0,350010009080,35001000908
10740,35,001,35001,6.03,0,350010006030,35001000603
10740,35,001,35001,9.07,0,350010009070,35001000907
10740,35,001,35001,9.05,0,350010009050,35001000905
10740,35,001,35001,37.33,0,350010037330,35001003733
